,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,308,Chinook,1950,NA,NA,NA,Fraser
2,303,Chinook,1950,NA,NA,NA,Fraser
3,307,Chinook,1950,NA,NA,NA,Fraser
4,304,Chinook,1950,NA,NA,NA,Fraser
5,306,Chinook,1950,NA,NA,NA,Fraser
6,305,Chinook,1950,NA,NA,NA,Fraser
7,317,Chinook,1950,NA,NA,NA,Fraser
8,309,Chinook,1950,NA,NA,NA,Fraser
9,310,Chinook,1950,NA,NA,NA,Fraser
10,311,Chinook,1950,NA,NA,NA,Fraser
11,318,Chinook,1950,NA,NA,NA,Fraser
12,319,Chinook,1950,NA,NA,NA,Fraser
13,315,Chinook,1950,NA,NA,NA,Fraser
14,316,Chinook,1950,NA,NA,NA,Fraser
15,313,Chinook,1950,NA,NA,NA,Fraser
16,314,Chinook,1950,NA,NA,NA,Fraser
17,333,Chinook,1950,NA,NA,NA,Fraser
18,312,Chinook,1950,NA,NA,NA,Fraser
19,701,Chum,1950,NA,NA,NA,Fraser
20,705,Coho,1950,NA,NA,NA,Fraser
21,749,Coho,1950,NA,NA,NA,Fraser
22,704,Coho,1950,NA,NA,NA,Fraser
23,750,Coho,1950,NA,NA,NA,Fraser
24,707,Coho,1950,NA,NA,NA,Fraser
25,709,Coho,1950,NA,NA,NA,Fraser
26,708,Coho,1950,NA,NA,NA,Fraser
27,710,Pink (Odd),1950,NA,NA,NA,Fraser
28,751,Lake Sockeye,1950,NA,NA,NA,Fraser
29,719,Lake Sockeye,1950,NA,NA,NA,Fraser
30,735,Lake Sockeye,1950,NA,16266,NA,Fraser
31,720,Lake Sockeye,1950,NA,NA,NA,Fraser
32,721,Lake Sockeye,1950,NA,26447,NA,Fraser
33,711,Lake Sockeye,1950,NA,NA,NA,Fraser
34,712,Lake Sockeye,1950,NA,30595,NA,Fraser
35,725,Lake Sockeye,1950,NA,145218,NA,Fraser
36,713,Lake Sockeye,1950,NA,288,NA,Fraser
37,714,Lake Sockeye,1950,NA,30843,NA,Fraser
38,740,Lake Sockeye,1950,NA,6467,NA,Fraser
39,716,Lake Sockeye,1950,NA,72617,NA,Fraser
40,727,Lake Sockeye,1950,NA,1548,NA,Fraser
41,718,Lake Sockeye,1950,NA,NA,NA,Fraser
42,752,Lake Sockeye,1950,NA,NA,NA,Fraser
43,715,Lake Sockeye,1950,NA,40061,NA,Fraser
44,728,Lake Sockeye,1950,NA,398,NA,Fraser
45,729,Lake Sockeye,1950,NA,NA,NA,Fraser
46,738,Lake Sockeye,1950,NA,12521,NA,Fraser
47,739,Lake Sockeye,1950,NA,1304541,NA,Fraser
48,732,Lake Sockeye,1950,NA,59443,NA,Fraser
49,731,Lake Sockeye,1950,NA,5843,NA,Fraser
50,734,Lake Sockeye,1950,NA,500,NA,Fraser
51,745,River Sockeye,1950,NA,NA,NA,Fraser
52,742,River Sockeye,1950,NA,NA,NA,Fraser
53,302,Chinook,1950,NA,NA,NA,Fraser
54,906,Coho,1950,NA,NA,NA,Fraser
55,760,Lake Sockeye,1950,NA,NA,NA,Fraser
56,756,Lake Sockeye,1950,NA,NA,NA,Fraser
57,757,Lake Sockeye,1950,NA,NA,NA,Fraser
58,753,Lake Sockeye,1950,NA,NA,NA,Fraser
59,758,Lake Sockeye,1950,NA,NA,NA,Fraser
60,761,Lake Sockeye,1950,NA,NA,NA,Fraser
61,763,Lake Sockeye,1950,NA,NA,NA,Fraser
62,759,Lake Sockeye,1950,NA,NA,NA,Fraser
63,308,Chinook,1951,NA,300,NA,Fraser
64,303,Chinook,1951,NA,1500,NA,Fraser
65,307,Chinook,1951,NA,75,NA,Fraser
66,304,Chinook,1951,NA,750,NA,Fraser
67,306,Chinook,1951,NA,1575,NA,Fraser
68,305,Chinook,1951,NA,750,NA,Fraser
69,317,Chinook,1951,NA,9275,NA,Fraser
70,309,Chinook,1951,NA,NA,NA,Fraser
71,310,Chinook,1951,NA,580,NA,Fraser
72,311,Chinook,1951,NA,5650,NA,Fraser
73,318,Chinook,1951,NA,425,NA,Fraser
74,319,Chinook,1951,NA,2800,NA,Fraser
75,315,Chinook,1951,NA,1500,NA,Fraser
76,316,Chinook,1951,NA,NA,NA,Fraser
77,313,Chinook,1951,NA,5075,NA,Fraser
78,314,Chinook,1951,NA,1500,NA,Fraser
79,333,Chinook,1951,NA,NA,NA,Fraser
80,312,Chinook,1951,NA,7500,NA,Fraser
81,701,Chum,1951,NA,NA,NA,Fraser
82,705,Coho,1951,NA,500,NA,Fraser
83,749,Coho,1951,NA,NA,NA,Fraser
84,704,Coho,1951,NA,7725,NA,Fraser
85,750,Coho,1951,NA,32750,NA,Fraser
86,707,Coho,1951,NA,NA,NA,Fraser
87,709,Coho,1951,NA,NA,NA,Fraser
88,708,Coho,1951,NA,NA,NA,Fraser
89,710,Pink (Odd),1951,NA,NA,NA,Fraser
90,751,Lake Sockeye,1951,NA,NA,NA,Fraser
91,719,Lake Sockeye,1951,NA,NA,NA,Fraser
92,735,Lake Sockeye,1951,NA,22234,NA,Fraser
93,720,Lake Sockeye,1951,NA,NA,NA,Fraser
94,721,Lake Sockeye,1951,NA,118110,NA,Fraser
95,711,Lake Sockeye,1951,NA,NA,NA,Fraser
96,712,Lake Sockeye,1951,NA,13143,NA,Fraser
97,725,Lake Sockeye,1951,NA,96318,NA,Fraser
98,713,Lake Sockeye,1951,NA,411,NA,Fraser
99,714,Lake Sockeye,1951,NA,12990,NA,Fraser
100,740,Lake Sockeye,1951,NA,8669,NA,Fraser
101,716,Lake Sockeye,1951,NA,42063,NA,Fraser
102,727,Lake Sockeye,1951,NA,350,NA,Fraser
